,,,,
Tasand (Puu osa),Tasandi kirjeldus,Element / Teema,Selgitus (Põhineb pildil ja materjalidel),Lihtne Metafoor Algajale
1. LEHED JA VILJAD(Uuringud ja Trendid),"See on puu kõige kiiremini muutuv osa. Mis on täna tippteadus, on homme standard. Nende trendide mõistmine on kriitiline, et hoida oma oskused asjakohasena ja näha ette järgmist innovatsioonilainet.",Mixture of Experts (MOE),"Ühe suure mudeli asemel töötavad koos mitu spetsialiseerunud ""eksperti"". Iga päringu jaoks aktiveeritakse vaid vajalikud osad, säästes ressursse.","Arstide konsiilium. Selle asemel, et üks perearst teaks kõike, suunatakse sind kardioloogi või neuroloogi juurde vastavalt sümptomile."
,,AGI ja ASI,"Teekond inimtaseme intellekti (AGI) ja superintellekti (ASI) suunas. Mudelid, mis suudavad üldistada ja ületada inimvõimeid kõigis valdkondades.","Üliõpilane vs Einstein vs Jumal. Tänane AI on nagu tark tudeng. AGI on nagu geenius. ASI on midagi, mida me veel ettegi ei kujuta."
,,Green AI (Jätkusuutlikkus),Fookus energiatõhususele. Kuidas treenida ja jooksutada mudeleid väiksema süsiniku jalajäljega.,"Elektriauto. Sama sihtkoht (tulemus), aga kütusekulu ja keskkonnakahju on kordades väiksem."
,,Spetsialiseeritud Arutlusmudelid,"Mudelid, mis on treenitud spetsiifiliselt mõtlema samm-sammult (nt o1 seeria), et lahendada keerulisi loogika- ja matemaatikaülesandeid.","Maletaja. Ta ei tee käiku kohe, vaid mõtleb peas läbi 10 võimalikku sammu ette."
2. OKSAD(Rakendamine ja Agendid),"Oksad on teadmiste praktiline rakendamine. Siin õpid, kuidas ehitada autonoomseid süsteeme (agente), kohandada mudeleid spetsiifiliste ülesannete jaoks (peenhäälestus) ja disainida kompleksseid mitmeastmelisi töövooge, mis lahendavad reaalseid äriprobleeme.",AI Agendid,"Autonoomsed süsteemid, mis mitte ainult ei räägi, vaid tegutsevad: kasutavad tööriistu, planeerivad ja täidavad ülesandeid iseseisvalt.",Töömees vs Konsultant. Konsultant (LLM) annab nõu. Töömees (Agent) võtab haamri ja parandab katuse ära.
,,MCP (Model Context Protocol),"Standardiseeritud viis, kuidas ühendada AI mudelid väliste andmete ja tööriistadega. Väldib ""spageti-koodi"" integratsioonides.","USB-C kaabel. Üks ja sama pistik sobib, et ühendada AI ükskõik millise seadmega (andmebaasi või programmiga)."
,,3 Keerukuse taset,"1. LLM (jutustaja), 2. Arutlusmudel (mõtleja), 3. Agent (tegija).","Köögimetafoor: 1. Retseptiraamat (LLM), 2. Peakokk, kes koostab menüü (Arutlus), 3. Kokk, kes reaalselt hakib ja küpsetab (Agent)."
3. TÜVI(Inseneeria ja Arhitektuur),"Tüvi on kandev struktuur, mis toetab kõike muud. Promptimine on vaid rool, kontekstitehnika on terve auto ehitamine. See kiht õpetab, kuidas luua töökindlaid, skaleeritavaid ja turvalisi AI-rakendusi, hallates teadlikult mudelile antavat informatsiooni.",Kontekstitehnika (Context Engineering),"See on ""tüvi"", mis hoiab kõike püsti. Erinevus lihtsa promptimise ja süsteemse konteksti loomise vahel (keskkond, reeglid, rollid).","Lavastaja töö. Prompt on näitleja lause. Kontekst on lavakujundus, valgus, kostüümid ja stsenaarium, mis annavad lausele mõtte."
,,RAG (Retrieval-Augmented Generation),"Mudelile antakse ligipääs ""kinnisele raamatukogule"" (ettevõtte andmed), et vähendada hallutsineerimist ja tõsta täpsust.","Avatud raamatuga eksam. AI ei pea fakte peast tuupima, ta võib need usaldusväärsest õpikust järele vaadata."
,,Mälu ja Olekuhaldus,Kuidas mudel mäletab eelmist vestlust või tegevuse hetkeseisu (state). Ilma selleta alustaks ta iga lauset nullist.,"Märkmik. Kui sul on halb mälu, kirjutad olulise üles. AI-l on ""lühimälu"" (vestluse aken) ja ""pikk mälu"" (andmebaas)."
